latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.63,92.82,264.0,3.5,25.0,180.0,0.0,-1.0,25.0,36.4,28.0,1.138,0.0641
25.63,92.83,200.0,3.5,24.8,180.0,0.0,-1.0,24.8,36.3,28.4,1.14,0.0641
25.63,92.84,225.0,3.5,24.1,180.0,0.0,-1.0,24.1,35.5,29.5,1.143,0.064
25.63,92.85,175.0,3.5,24.1,180.0,0.0,-1.0,24.1,35.5,29.5,1.143,0.064
25.63,92.86,200.0,3.5,23.9,180.0,0.0,-1.0,23.9,34.4,30.3,1.15,0.064
25.63,92.87,166.0,3.5,23.4,180.0,0.0,-1.0,23.4,32.4,31.5,1.148,0.0639
25.63,92.88,173.0,3.5,23.4,180.0,0.0,-1.0,23.4,32.4,31.5,1.148,0.0639
25.63,92.89,214.0,3.5,23.5,180.0,0.0,-1.0,23.5,32.2,31.4,1.141,0.0639
25.63,92.9,193.0,3.5,23.8,180.0,0.0,-1.0,23.8,33.0,31.0,1.141,0.064
25.63,92.91,209.0,3.5,24.2,180.0,0.0,-1.0,24.2,32.9,31.0,1.142,0.064
25.63,92.92,180.0,3.5,24.2,180.0,0.0,-1.0,24.2,32.9,31.0,1.142,0.064
25.63,92.93,190.0,3.5,23.9,180.0,0.0,-1.0,23.9,32.4,31.3,1.144,0.064
25.63,92.94,197.0,3.5,23.9,180.0,0.0,-1.0,23.9,32.4,31.3,1.144,0.064
25.63,92.95,140.0,3.5,23.5,180.0,0.0,-1.0,23.5,32.5,31.3,1.145,0.0639
25.63,92.96,154.0,3.5,23.4,180.0,0.0,-1.0,23.4,32.9,30.9,1.154,0.0639
25.63,92.97,157.0,3.5,23.6,180.0,0.0,-1.0,23.6,32.4,30.8,1.154,0.0639
25.63,92.98,170.0,3.5,23.2,180.0,0.0,-1.0,23.2,31.7,31.1,1.16,0.0639
25.63,92.99,182.0,3.5,23.3,180.0,0.0,-1.0,23.3,30.7,31.2,1.161,0.0639
25.63,93.0,192.0,3.5,23.4,180.0,0.0,-1.0,23.4,29.9,31.0,1.161,0.0639
25.63,93.01,243.0,3.5,23.4,180.0,0.0,-1.0,23.4,29.9,31.0,1.161,0.0639
25.63,93.02,282.0,3.5,23.7,180.0,0.0,-1.0,23.7,30.1,30.9,1.149,0.0639
25.63,93.03,293.0,3.5,23.7,180.0,0.0,-1.0,23.7,30.1,30.9,1.149,0.0639
25.63,93.04,266.0,3.5,24.6,180.0,0.0,-1.0,24.6,30.8,30.1,1.131,0.0641
25.63,93.05,216.0,3.5,25.4,180.0,0.0,-1.0,25.4,30.9,29.4,1.109,0.0641
